Word;Description
preclude;:to makeimpossibleby necessary consequence:rule out in advance
pursuant;:prosecutor
conformation;:the act ofconformingor producingconformity:adaptation
incur;:to becomeliableorsubjectto:bring down upon oneself
transduce;:to convert (something, such as energy or a message) into another form
surmised;:a thought or idea based on scanty evidence:conjecture
profiteering;:the act or activity of making an unreasonableprofiton the sale of essential goods especially during times of emergency
ostensibly;:in anostensiblemanner
prattle;:prate
quiescent;:marked by inactivity or repose:tranquilly at rest
administration;:performance of executive duties:management
contemplated;:to view or consider withcontinuedattention:meditate on
curbing;:the material for a curb
bodily;:having a body:physical
discrepancy;:the quality or state of disagreeing or being at variance
subverts;:to overturn or overthrow from the foundation:ruin
plummeting;:to fall perpendicularly
mashup;:something created by combining elements from two or more sources: such as
saint;:one officially recognized especially through canonization as preeminent for holiness
inherently;:involved in the constitution oressentialcharacter of something:belonging by nature or habit:intrinsic
heretical;:of or relating to adherence to a religious opinion contrary to church dogma:characterized byheresy
parse;:to divide (a sentence) into grammatical parts and identify the parts and their relations to each other
intricately;:having many complexly interrelating parts or elements:complicated
copulation;:to engage in sexual intercourse
conundrum;:anintricateand difficult problem
inference;:something that is inferred
seminal;:of, relating to, or consisting of seed orsemen
afflict;:to cause pain or suffering to:to distress so severely as to cause persistent suffering or anguish
ameliorate;:to make better or moretolerable
perturbation;:the action ofperturbing:the state of beingperturbed
permeability;:the quality or state of beingpermeable
unfathomable;:not capable of being fathomed:
naysayer;:one who denies, refuses, opposes, or is skeptical or cynical about something
ablation;:the process ofablating: such as
sound;:a particular auditory impression:tone
dearth;:scarcitythat makesdear
impasse;:apredicamentaffordingno obvious escape
recession;:the act or action ofreceding:withdrawal
conscientiousness;:the condition or quality of beingconscientious
pertain;:to belong as a part, member, accessory, or product
regimented;:a military unit consisting usually of a number of battalions
allay;:to subdue or reduce in intensity or severity:alleviate
attenuation;:the act or process ofattenuatingsomething or the state of being attenuated: such as
undermines;:to subvert or weaken insidiously or secretly
industriousness;:constantly, regularly, or habitually active or occupied:diligent
spanning;:the distance from the end of the thumb to the end of the little finger of a spread hand
doxxed;:to publicly identify or publish private information about (someone) especially as a form of punishment or revenge
disenfranchising;:todepriveof afranchise, of a legal right, or of some privilege or immunity
contends;:to strive or vie incontestor rivalry or against difficulties:struggle
chirp;:to make achirpor a sound resembling a chirp
quicksand;:sand readily yielding to pressure
Dissuade;:to advise (a person) against something
straying;:a domestic animal that is wandering at large or is lost
residual;:remainder,residuum: such as
aggregate;:formed by the collection of units or particles into a body, mass, or amount:collective: such as
err;:to make a mistake
confounds;:to throw (a person) intoconfusionor perplexity
striven;:to devote serious effort or energy:endeavor
retrograde;:having or being motion in a direction contrary to that of the general motion of similar bodies and especially east to west among the stars
supplanting;:to supersede (another) especially by force or treachery
seclusion;:the act ofsecluding:the condition of beingsecluded
herald;:an official at a tournament of arms (seearmentry3sense 1a) with duties including the making of announcements and the marshaling of combatants
ambivalent;:having or showing simultaneous and contradictory attitudes or feelings toward something or someone:characterized byambivalence
persecution;:the act or practice ofpersecutingespecially those who differ in origin, religion, or social outlook
acumen;:keenness and depth of perception,discernment, ordiscriminationespecially in practical matters
bereft;:deprivedor robbed of the possession or use of something
obstinately;:stubbornlyadheringto an opinion, purpose, or course in spite of reason, arguments, or persuasion
repent;:to turn from sin and dedicate oneself to the amendment of one's life
spade;:a digging implement adapted for being pushed into the ground with the foot
indenture;:a document or a section of a document that isindented
assortative;:being nonrandom mating based on like or unlike characteristics
aspersion;:a false or misleading charge meant to harm someone's reputation
tenacity;:the quality or state of beingtenacious
deviation?;:an act or instance ofdeviating: such as
soiling;:to stain or defile morally:corrupt
predecessor;:one that precedes
vitriol;:bitterly harsh or caustic language or criticism
demeanor;:behavior toward others:outwardmanner
disavows;:to deny responsibility for:repudiate
iconoclasm;:the doctrine, practice, or attitude of aniconoclast
congregation;:an assembly of persons:gathering
divesting;:to deprive or dispossess especially of property, authority, or title
belay;:to secure (a rope or cable) by turns around a cleat (seecleatentry1sense 1b), pin, orbitt
coalesced;:to grow together
compunction;:anxiety arising from awareness of guilt
insatiable;:incapable of being satisfied:quenchless
interspersed;:to insert at intervals among other things
unused;:not habituated:unaccustomed
tantamount;:equivalent in value, significance, or effect
deterring;:to turn aside,discourage, or prevent from acting
serpent;:a noxious creature that creeps, hisses, or stings
resounding;:producing or characterized byresonantsound:resonating
stigmatization;:to describe or regard (something, such as a characteristic or group of people) in a way that shows strong disapproval
squint;:looking or tending to look obliquely or askance (as with envy or disdain)
spat;:a young bivalve (such as an oyster)
instigator;:to goad or urge forward:provoke
hapless;:having no luck:unfortunate
eclectic;:composed of elements drawn from various sources
dejected,;:low in spirits:depressed
untenable;:not able to bedefended
iteration;:version,incarnation
replete;:fully or abundantly provided or filled
prognosticate;:to foretell from signs or symptoms:predict
apportion;:to divide and share out according to a plan
sober;:notintoxicated
epitomizes;:to serve as the typical or ideal example of
semblance;:outward and often specious appearance or show:form
aberrant;:deviatingfrom the usual or natural type:atypical,abnormal
regressing;:an act or the privilege of going or coming back
proclivities;:an inclination or predisposition toward something
boasting;:a statement expressing excessive pride in oneself:the act or an instance of boasting (seeboastentry2):brag
posited;:to dispose or set firmly:fix
succinctly;:marked by compact precise expression without wasted words
conciliatory;:intended to gain goodwill or favor or to reduce hostility:tending or intended toconciliate
muster.;:a representative specimen (seespecimensense 1):sample
pliable;:supple enough to bend freely or repeatedly without breaking
substantively;:having substance:involving matters of major orpracticalimportance to all concerned
enterprises;:a project or undertaking that is especially difficult, complicated, or risky
compartmentalization;:to separate into isolatedcompartmentsor categories
infanticide;:the killing of aninfant
extricate;:to free or remove from an entanglement or difficulty
incentivize;:to provide with anincentive
unimpeded;:not slowed, blocked, or interfered with:notimpeded
vicissitudes;:the quality or state of being changeable:mutability
balk;:to refuse abruptly
stunted;:to hinder the normal growth, development, or progress of
rail;:a bar extending from one post or support to another and serving as a guard or barrier
relegated;:to send into exile:banish
embroil;:to throw into disorder or confusion
dicey;:risky,unpredictable
canonical;:of, relating to, or forming acanon
preemption;:the right of purchasing before others
obfuscation;:to throw into shadow:darken
shun;:to avoid deliberately and especially habitually
immolate;:to kill or destroy especially by fire
sentiment;:an attitude, thought, or judgment prompted by feeling:predilection
zealousness;:marked by fervent partisanship for a person, a cause, or an ideal:filled with or characterized byzeal
belie;:to give a false impression of
propriety;:the quality or state of beingproperor suitable:appropriateness
respite;:a period of temporary delay
redress;:to set right:remedy
restraint;:an act ofrestraining:the state of beingrestrained
countermand;:to revoke (a command) by a contrary order
specificity;:the quality or condition of beingspecific: such as
nail;:a horny sheath protecting the upper end of each finger and toe of humans and most other primates
epistemological;:of, relating to, or based onepistemology:relating to the study of the nature, origin, and limits of human knowledge
debilitation;:to impair the strength of:enfeeble
chastity;:the quality or state of beingchaste: such as
willful;:obstinately and often perversely self-willed
impenetrability;:the quality or state of beingimpenetrable
legitimacy;:the quality or state of beinglegitimate
exasperated;:having or showing strong feelings of irritation or annoyance
contention;:a point advanced or maintained in a debate or argument
subservience;:asubservientor subordinate place or function
punctuate;:to mark or divide (written matter) withpunctuationmarks
egregious;:conspicuous
dubiously;:unsettled in opinion:doubtful
adherence;:the act, action, or quality ofadhering
infighting;:prolonged and often bitter dissension or rivalry among members of a group or organization
missives;:a written communication:letter
deferring;:put off,delay
reflex;:reflected heat, light, or color
persecute;:to harass or punish in a manner designed to injure, grieve, or afflict
inferior;:of little or less importance, value, ormerit
triumphant;:victorious,conquering
laud;:praise,extol
symbiosis;:the living together in more or less intimate association or close union of two dissimilar organisms (as in parasitism or commensalism)
consolidation;:the act or process ofconsolidating:the state of beingconsolidated
tandem;:tandem bicycle
antithetical;:being in direct andunequivocalopposition:directly opposite or opposed
coo;:to make the low soft cry of a dove or pigeon or a similar sound
glaring;:having a fixed look of hostility, fierceness, or anger
propels;:to drive forward or onward by or as if by means of a force that imparts motion
confides;:to haveconfidence:trust
dissect;:to separate into pieces:expose the several parts of (something, such as an animal) for scientific examination
fomenting;:to promote the growth or development of:rouse,incite
ubiquitous;:existing or being everywhere at the same time:constantlyencountered:widespread
disparate;:markedlydistinctin quality or character
frailty;:the quality or state of beingfrail
decry;:todepreciate(something, such as a coin) officially or publicly
defy;:to confront with assured power of resistance:disregard
lot;:an object used as a counter in determining a question by chancesee alsothrow in one's lot with
disowned;:to refuse to acknowledge as one's own
customizable;:to build, fit, or alter according to individual specifications
affiliations;:the state or relation of being closely associated oraffiliatedwith a particular person, group, party, company, etc.
defective;:having a defect or flaw:imperfect in form, structure, or function
vengeful;:revengeful: such as
abet;:to actively second and encourage (something, such as an activity or plan)
identifiable;:capable of beingidentified
palpable;:capable of being touched or felt:tangible
pedantic;:of, relating to, or being apedant
modality;:the quality or state of beingmodal
quelling;:to thoroughly overwhelm and reduce to submission or passivity
implicit;:capable of being understood from something else though unexpressed:implied
Humility;:freedom from pride or arrogance:the quality or state of beinghumble
discrete;:constituting a separate entity:individuallydistinct
construct;:to make or form by combining or arranging parts or elements:build
compulsion;:an act ofcompelling
insurmountable;:incapable of being surmounted:insuperable
adamant;:unshakable orinsistentespecially in maintaining a position or opinion:unyielding
brutish;:resembling, befitting, or typical of abruteor beast
attest;:to affirm to be true or genuine
gleefully;:full of glee:merry
lambaste;:to assault violently:beat,whip
hobbled;:to move along unsteadily or with difficulty
galling;:markedly irritating:vexing
triumphalism;:an attitude or feeling of victory or superiority: such as
combustion;:an act or instance of burning
dispense;:to divide and share out according to a plan:to deal out in portions
faculty;:ability,power: such as
dissertation;:an extended usually written treatment of a subject
insulate;:to place in a detached situation:isolate
espoused;:marry
renounce;:to give up, refuse, or resign usually by formal declaration
pervasively;:existing in or spreading through every part of something
demean;:to lower in character, status, or reputation
prominently;:standing out or projecting beyond a surface or line:protuberant
aphrodisiac;:an agent (such as a food or drug) that arouses or is held to arouse sexual desire
inculcate;:to teach and impress by frequent repetitions or admonitions
dispensations;:a general state or ordering of things
debunk;:to expose the sham (seeshamentry1sense 2) or falseness of
supplicate;:to make a humble entreaty
vigilant;:alertly watchful especially to avoid danger
ingratiating;:intended or adopted in order to gain favor:flattering
scoff;:an expression of scorn, derision, or contempt:gibe
expounding;:to set forth:state
sparing;:marked by or practicing careful restraint (as in the use of resources)
tacit;:expressed or carried on without words or speech
Estrus;:a regularly recurrent state of sexual receptivity during which the female of most mammals will accept the male and is capable of conceiving:heat
weave;:to form (cloth) by interlacing strands (as of yarn)
revolt;:to renounce allegiance or subjection (as to a government):rebel
grates;:gratingsense 2
celibate;:of, relating to, or characterized bycelibacy:
tense;:stretched tight:made taut:rigid
bypass;:a passage to one side
Machiavellianism;:the political theory ofMachiavelli
Bereavement;:the state or fact of beingbereavedordeprivedof something or someone
assent;:to agree to or approve of something (such as an idea or suggestion) especially afterthoughtfulconsideration:concur
encapsulate;:to enclose in or as if in a capsule
solidify;:to makesolid, compact, or hard
anachronism;:an error in chronology
umbilical;:of, relating to, or used at the navel
exclaimed;:to cry out or speak in strong or sudden emotion
stoking;:to poke or stir up (a fire, flames, etc.):supply with fuel
emanating;:to come out from a source
inconsistency;:an instance of beinginconsistent
absolutism;:a political theory thatabsolutepower should be vested in one or more rulers
consolidate;:to join together into one whole:unite
doth;
browbeating;:to intimidate ordisconcertby a stern manner or arrogant speech:bully
spineless;:free fromspines, thorns, or prickles
bullpen;:a large cell where prisoners are detained until brought into court
sting;:to prick painfully: such as
effeminate;:having feminine qualities untypical of a man:not manly in appearance or manner
neurotically;:of, relating to, constituting, or affected with neurosis (seeneurosis)
contralateral;:occurring on or acting in conjunction with a part on the opposite side of the body
parcel;:a tract or plot of land
sussing;:figure out
disposability;:subject to or available fordisposal
intellectualization;:to give rational form or content to
dovetail;:something resembling a dove's tail
deductive;:of, relating to, or provable by deriving conclusions by reasoning:of, relating to, or provable by deduction (seedeductionsense 2a)
gauge;:a measurement (as of linear dimension) according to some standard or system: such as
bereaved;:suffering the death of a loved one
triagé;:the sorting of and allocation of treatment to patients and especially battle and disaster victims according to a system of priorities designed to maximize the number of survivors
humming;:to utter a sound like that of the speech sound \m\ prolonged
faction;:a party or group (as within a government) that is often contentious or self-seeking:clique
encephalopathy;:a disease of the brain
stationary;:fixed in astation, course, or mode:immobile
scabs;:scabiesof domestic animals
hyperalert;:extremely or excessivelyalert
shrew;:any of a family (Soricidae) of small chiefly nocturnal insectivores related to the moles and distinguished by a long pointed snout, very small eyes, and short velvety fur
luteinizing;:the process of formingcorpora lutea
chode;
abrasion;:a wearing, grinding, or rubbing away by friction
tarnish;:to dull or destroy the luster of by or as if by air, dust, or dirt:soil,stain
fairer;:marked by impartiality andhonesty:free from self-interest, prejudice, or favoritism
preconstructed;:constructedbefore purchase or use
peripherally;:of, relating to, involving, or forming aperipheryor surface part
nookie;:the female partner in sexual intercourse
confer;:to compare views or take counsel:consult
barrel;:a round bulging vessel of greater length than breadth that is usually made of staves bound with hoops and has flat ends of equal diameter
poise;:balance
coopting;:to choose or elect as a member
Pheromonal;:a chemical substance that is usually produced by an animal and serves especially as a stimulus to other individuals of the same species for one or more behavioral responses
holistic,;:of or relating toholism
epoch.;:an event or a time marked by an event that begins a new period or development
refeed;:the periodic controlled intake of excess calories usually in the form of carbohydrates typically to improve weight loss during dieting
gratifying;:giving pleasure or satisfaction:pleasing
allegory;:the expression by means ofsymbolicfictional figures and actions of truths or generalizations about human existence
aggrandized;:to make great or greater:increase,enlarge
grace;:unmerited divine assistance given to humans for their regeneration or sanctification
pontification;:to speak or express opinions in a pompous or dogmatic way
progeny;:descendants,children
Bargaining;:an agreement between parties settling what each gives or receives in a transaction between them or what course of action or policy each pursues in respect to the other
chorus;:a company of singers and dancers in Athenian drama participating in or commenting on the action
prick;:a mark or shallow hole made by a pointed instrument
marching;:a border region:frontier
shedding;:to rid oneself of temporarily or permanently as superfluous or unwanted
proportional;:a number or quantity in aproportion
deferred;:withheld for or until a stated time
behooves;:advantage,profit
subpar;:belowpar: such as
bestow;:to put to use:apply
rut;:a periodic and often annually recurring state of certain male animals (such as deer or elk) during which behavior associated with the urge to breed is displayed
anguish;:extreme pain, distress, or anxiety
euphemistically;:the substitution of anagreeableorinoffensiveexpression for one that may offend or suggest something unpleasant
visceral;:felt in or as if in the internal organs of the body:deep
solipsistic.;:of, relating to, or characterized bysolipsismor extreme egocentricity
operative;:producing an appropriate effect:efficacious
prelude;:an introductory performance, action, or event preceding and preparing for the principal or a more important matter
enamored;:affected by strong feelings of love, admiration, or fascination
pounding;:any of various units of mass and weight
agonize;:to cause to sufferagony:torture
ditch;:a long narrowexcavationdug in the earth (as for drainage)
doubly;:in a twofold manner
confounded;:confused,perplexed
Sneer;:to smile or laugh with facial contortions that express scorn or contempt
reeling;:a revolvable device on which something flexible is wound: such as
digress.;:to turn aside especially from the main subject of attention or course ofargument
contingent;:dependent on orconditionedby something else
detractors;:to diminish the importance, value, or effectiveness of something
recruit;:to fill up the number of with new members:reinforce
actualized;:to makeactual:realize
fruition;:pleasurable use or possession:enjoyment
vision;:the act or power of seeing:sight
incentivized;:to provide with anincentive
recruits;:to fill up the number of with new members:reinforce
abound;:to be present in large numbers or in great quantity:to be prevalent
culmination;:the action ofculminating
pander;:to act as apander
denominator;:the part of a fraction that is below the line and that functions as the divisor of the numerator
coincides;:to occupy the same place in space or time
pale;:deficient in color or intensity of color:pallid
esoteric;:designed for or understood by the speciallyinitiatedalone
demise;:death
enfeebling;:to make feeble:deprive of strength
dividend;:an individual share of something distributed: such as
concession;:the act or an instance ofconceding(as by granting something as a right, accepting something as true, or acknowledging defeat)
indoctrinated;:to imbue with a usually partisan or sectarian opinion, point of view, or principle
convicted,;:having beenconvicted
fag;:to work hard:toil
pandered;:to act as apander
strumming;:an act, instance, or sound ofstrumming
culling;:to select from a group:choose
fumble;:to grope for or handle something clumsily or aimlessly
pushover;:something accomplished without difficulty:snap
estranged;:having lost former closeness and affection:in a state ofalienationfrom a previous close or familial relationship
sultry;:very hot and humid:sweltering
crusader;:one who engages in acrusade: such as
sultry;:very hot and humid:sweltering
tingles;:to feel a ringing, stinging, prickling, or thrilling sensation
perturbed;:troubled in mind:feeling or showing agitation:bothered,upset
triage;:the sorting of and allocation of treatment to patients and especially battle and disaster victims according to a system of priorities designed to maximize the number of survivors
spar;:a stout pole
jeopardy;:exposure to or imminence of death, loss, or injury:danger
oblivion.;:the fact or condition of not remembering:a state marked by lack of awareness or consciousness
wit;:the ability to relate seemingly disparate things so as to illuminate or amuse
allegedly;:accused but not proven or convicted
crouch;:to lower the body stance especially by bending the legs
sullen;:gloomily or resentfully silent or repressed
poignant;:painfully affecting the feelings:piercing
commodify;:to turn (something, such as anintrinsicvalue or a work of art) into acommodity
relishing;:characteristic flavor
capitalize;:to write or print with an initial capital or in capitals
sparse;:of few and scattered elements
tribalism;:tribalconsciousness and loyalty
presumptive;:based on probability orpresumption
confounded;:confused,perplexed
discerning;:showinginsightand understanding:discriminating
distractingly;:to draw or direct (something, such as someone's attention) to a different object or in different directions at the same time
branded;:having abrand name
petition;:a formal written request made to an authority or organized body (such as a court)
foist;:to introduce or insert surreptitiously or without warrant
prying;:inquisitive in an annoying, officious, or meddlesome way
coquetry,;:a flirtatious act or attitude
supplanted;:to supersede (another) especially by force or treachery
